LHS Compound,RHS Compound,LHS HOMO,LHS LUMO,LHS Total Energy,RHS HOMO,RHS LUMO,RHS Total Energy
Brc1ccccc1,BrC1cccc[C]1,-0.2539,-0.03188,-2805.85649226,0.0309,0.13868,-2805.88739581
Clc1ccccc1,ClC1cccc[C]1,-0.25679,-0.03108,-691.942709302,0.03549,0.13555,-691.90867572
O=CC1CCCCC1,O[C]C1CCCCC1,-0.26068,-0.03785,-349.302168286,0.18559,0.20823,-349.033028394
CC=Cc1ccc(C=CC)cc1,C[C]Cc1ccc(C=CC)cc1,-0.20836,-0.05348,-465.822526995,0.15343,0.1893,-465.617520298
CC(C)CC=O,CC(C)C[C]O,-0.26051,-0.04092,-271.858906921,0.1901,0.20917,-271.594025829
Cc1ccccc1C=O,Cc1ccccc1[C]O,-0.26272,-0.07495,-385.005013634,0.18257,0.20776,-384.783329592
O=Cc1ccccc1,O[C]c1ccccc1,-0.26892,-0.07915,-345.678047496,0.1923,0.22108,-345.461605884
O=Cc1ccc(Cl)cc1,O[C]c1ccc(Cl)cc1,-0.27344,-0.08755,-805.302702503,0.17661,0.19551,-805.248659558
O=Cc1ccc2ccccc2c1,O[C]c1ccc2ccccc2c1,-0.23988,-0.08694,-499.360107565,0.16929,0.19752,-499.188754022
O=Cc1ccc(-c2ccccc2)cc1,O[C]c1ccc(-c2ccccc2)cc1,-0.24923,-0.08299,-576.796603167,0.14711,0.18157,-576.643667894
O=Cc1ccc(C(F)(F)F)cc1,O[C]c1ccc(C(F)(F)F)cc1,-0.28335,-0.09922,-682.833592429,0.02155,0.11697,-682.766772032
N#Cc1ccc(C=O)cc1,N#Cc1ccc([C]O)cc1,-0.28831,-0.11141,-437.943882362,0.16122,0.21505,-437.803097596
O=Cc1ccc([N+](=O)[O-])cc1,O=Cc1c[C]C([N+](=O)[O-])cc1,-0.29135,-0.12974,-550.244048778,0.14475,0.19371,-550.250808184
O=Cc1ccc(O)cc1,O[C]c1ccc(O)cc1,-0.25349,-0.07005,-420.929987897,0.17986,0.22092,-420.713333168
CC=Cc1ccsc1,C[C]Cc1ccsc1,-0.22013,-0.03048,-669.834827995,0.17471,0.19423,-669.583293818
COc1ccc(C=O)cc1,COc1ccc([C]O)cc1,-0.24762,-0.06654,-460.240516722,0.17209,0.20028,-460.034105073
Cc1ccc(N=Cc2ccccc2)cc1,Cc1ccc(N[C]c2ccccc2)cc1,-0.21506,-0.065,-596.226603984,0.14977,0.1655,-596.080070573
C(=Nc1ccccc1)c1ccccc1,[C](Nc1ccccc1)c1ccccc1,-0.22964,-0.07126,-556.908691014,0.15565,0.17952,-556.736846808
Fc1ccc(N=Cc2ccccc2)cc1,Fc1ccc(N[C]c2ccccc2)cc1,-0.23073,-0.07465,-656.179472169,0.16128,0.18233,-656.023231513
COc1cccc(N=Cc2ccccc2)c1,COc1cccc(N[C]c2ccccc2)c1,-0.22232,-0.0692,-671.468247837,0.14836,0.1609,-671.258260562
C(=NN(c1ccccc1)c1ccccc1)c1ccccc1,[C](NN(c1ccccc1)c1ccccc1)c1ccccc1,-0.19624,-0.0521,-843.360120625,0.14338,0.15946,-843.195402355
Cc1ccc(N=Cc2ccccc2)cc1,Cc1ccc(N[C]c2ccccc2)cc1,-0.21506,-0.065,-596.226603984,0.14977,0.1655,-596.080070573
COc1cccc(N=Cc2ccccc2)c1,COc1cccc(N[C]c2ccccc2)c1,-0.22232,-0.0692,-671.468247837,0.14836,0.1609,-671.258260562
Fc1ccc(N=Cc2ccccc2)cc1,Fc1ccc(N[C]c2ccccc2)cc1,-0.23073,-0.07465,-656.179472169,0.16128,0.18233,-656.023231513
C(=Nc1ccccc1)c1ccccc1,[C](Nc1ccccc1)c1ccccc1,-0.22964,-0.07126,-556.908691014,0.15565,0.17952,-556.736846808
CC=Cc1ccccc1OC,C[C]Cc1ccccc1OC,-0.21329,-0.03535,-463.627677121,0.16466,0.1817,-463.38683876
ON=Cc1ccccc1,ON[C]c1ccccc1,-0.24059,-0.05814,-401.000714809,0.17562,0.20893,-400.923944917
O=C1CCCCC1,O[C]1CCCCC1,-0.24822,-0.03071,-309.988271285,0.0511,0.12146,-310.525735316
CC(=O)c1ccc(C)cc1,C[C](O)c1ccc(C)cc1,-0.25728,-0.06538,-424.3413182,0.03301,0.10937,-424.919260382
CC(=O)c1ccc(F)cc1,C[C](O)c1ccc(F)cc1,-0.26587,-0.07239,-484.283456941,0.02792,0.11618,-484.866170734
CC(=O)c1ccccc1,C[C](O)c1ccccc1,-0.26093,-0.07,-385.011749379,0.0329,0.11671,-385.593478771
CC(=O)c1ccc(Cl)cc1,C[C](O)c1ccc(Cl)cc1,-0.26773,-0.07839,-844.636721,0.0223,0.11126,-845.229240715
CC(=O)c1ccc(-c2ccccc2)cc1,C[C](O)c1ccc(-c2ccccc2)cc1,-0.24497,-0.07527,-616.130205959,0.00805,0.09687,-616.731374978
CC(=O)c1ccc(Br)cc1,C[C](O)c1ccc(Br)cc1,-0.26459,-0.0792,-2958.55040898,0.01991,0.10449,-2959.14537675
CC(=O)c1ccc(I)cc1,C[C](O)c1ccc(I)cc1,,,,,,
CC(=O)c1ccc(C(F)(F)F)cc1,C[C](O)c1ccc(C(F)(F)F)cc1,-0.27467,-0.09011,-722.168024107,0.00644,0.10543,-722.779680888
C=C(c1ccccc1)c1ccccc1,[C]C(c1ccccc1)c1ccccc1,-0.2303,-0.04728,-540.854147649,0.23512,0.24959,-539.766177199
CC(=O)c1ccc([N+](=O)[O-])cc1,C[C](O)c1ccc([N+](=O)[O-])cc1,-0.28221,-0.12303,-589.578907909,-0.01865,0.0854,-590.22234369
CC(=O)C1CCCCC1,C[C](O)C1CCCCC1,-0.25091,-0.02413,-388.629596897,0.04405,0.10125,-389.177803462
CN1CCCN(C)C1=O,CN1CCCN(C)[C]1O,-0.23009,-0.00717,-420.740586246,0.02787,0.11862,-421.254722337
CN(C)C=O,CN(C)[C]O,-0.25545,-0.0058,-248.595278339,0.19838,0.21989,-248.334803341
O=C1CCCCN1,O[C]1CCCCN1,-0.25128,-0.00834,-326.04732918,0.04368,0.12361,-326.576022544
N#Cc1ccccc1,N=[C]c1ccccc1,-0.28005,-0.06711,-324.586243485,0.02297,0.10142,-325.148317647
COC(=O)c1ccccc1,CO[C](O)c1ccccc1,-0.26969,-0.05922,-460.270024941,0.02162,0.11573,-460.828167506
c1ccccc1,c1ccc[C]C1,-0.25978,-0.01692,-232.317428406,0.19607,0.24351,-232.055911421
O=C(O)c1ccccc1,O[C](O)c1ccccc1,-0.27392,-0.06559,-420.958913081,0.0252,0.11797,-421.515661877
O=C1CCCO1,O[C]1CCCO1,-0.281,-0.00787,-306.593179632,0.03645,0.12997,-307.122264357
N#Cc1cccc(C#N)c1,N#Cc1cccc([C]=N)c1,-0.30083,-0.09641,-416.850320738,0.00024,0.08334,-417.450632115
COC(=O)c1ccc(C#N)cc1,COC(=O)c1ccc([C]=N)cc1,-0.28796,-0.0948,-552.537029774,-0.00426,0.09758,-553.138872121
N#Cc1ccccc1C#N,N#Cc1ccccc1[C]=N,-0.29873,-0.10003,-416.847364709,-0.00073,0.09895,-417.452893646
N#Cc1ccc(C#N)cc1,N#Cc1ccc([C]=N)cc1,-0.29753,-0.10646,-416.850921594,0.00115,0.10035,-417.456580683
Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,Cc1cc(C)c([S](=O)(O)Cl)c(C)c1,-0.27133,-0.08703,-1358.60053026,-0.06363,0.04169,-1359.30216663
Cc1ccc(S(=O)(=O)Cl)cc1,Cc1ccc([S](=O)(O)Cl)cc1,-0.28614,-0.09172,-1279.95222678,-0.06582,0.07653,-1280.64255342
O=C1OC(=O)c2ccccc21,O=C1O[C](O)c2ccccc21,-0.30565,-0.1088,-533.114906751,0.00444,0.10381,-533.722089856
O=C(Cl)c1ccccc1,O[C](Cl)c1ccccc1,-0.28643,-0.09044,-805.318941146,0.00054,0.10909,-805.908695778
CC=Cc1ccc(C)cc1,CC[C]c1ccc(C)cc1,-0.21792,-0.03714,-388.398352486,0.16612,0.18944,-388.197797508
O=C(OC(=O)c1ccccc1)c1ccccc1,O=C(O[C](O)c1ccccc1)c1ccccc1,-0.27699,-0.0815,-765.430927907,-0.00302,0.05986,-766.022449599
O=C1C=CC(=O)O1,O=C1C=C[C](O)O1,-0.31466,-0.12955,-379.414423075,0.01843,0.11993,-380.038622548
O=[N+]([O-])c1ccccc1S(=O)(=O)Cl,O=[N+]([O-])c1ccccc1[S](=O)(O)Cl,-0.30984,-0.121,-1445.16565681,-0.07315,-0.03143,-1445.89323288
O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,O=[S](O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-0.32952,-0.118,-1914.92704186,-0.09212,0.04199,-1915.64050324
O=C(OC(=O)C(F)(F)F)C(F)(F)F,O=[S](O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-0.34681,-0.11277,-977.47006403,-0.09212,0.04199,-1915.64050324
O=C1CCC(=O)N1Cl,O=C1CC[C](O)N1Cl,-0.28995,-0.06083,-820.360315271,-0.0634,0.07098,-821.087176365
CC=Cc1cccc(OC)c1,CC[C]c1cccc(OC)c1,-0.21625,-0.03935,-463.629051775,0.16054,0.17931,-463.434157707
O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,O=C(O)c1ccccc1-c1c2cc(Br)[C](O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,-0.22699,-0.11601,-11439.9599874,-0.03477,0.04023,-11440.6287205
c1ccc2cc3ccccc3cc2c1,c1ccc2C[C]3ccccc3cc2c1,-0.20443,-0.07376,-539.675720626,0.00424,0.10698,-540.296874952
c1ccc(N=Nc2ccccc2)cc1,c1ccc([N]Nc2ccccc2)cc1,-0.23782,-0.09332,-572.923242143,-0.00548,0.0961,-573.569208206
O=C(c1ccccc1)c1ccccc1,O[C](c1ccccc1)c1ccccc1,-0.25665,-0.07633,-576.79737607,0.00515,0.1028,-577.409137567
O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1c[C]Ccc1,-0.29123,-0.10579,-436.887261175,0.14201,0.21703,-436.739677535
C1=C(c2ccccc2)CCCC1,C1[C](c2ccccc2)CCCC1,-0.22355,-0.0309,-465.836618989,0.02309,0.10096,-466.442674487
N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,N=[C]C(C#N)=c1ccc(=C(C#N)C#N)cc1,-0.2827,-0.18821,-678.770573564,-0.06294,0.03568,-679.482332707
N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,N=[C]C(C#N)=c1ccc(=C(C#N)C#N)cc1,-0.2827,-0.18821,-678.770573564,-0.06294,0.03568,-679.482332707
C1=CSC(=C2SC=CS2)S1,C1=CS[C](C2SC=CS2)S1,-0.17636,-0.0437,-1823.9218578,-0.03523,0.0748,-1824.58661505
C1=CSC(=C2SC=CS2)S1,C1=CS[C](C2SC=CS2)S1,-0.17636,-0.0437,-1823.9218578,-0.03523,0.0748,-1824.58661505
C#Cc1ccc(OC)cc1,C=[C]c1ccc(OC)cc1,-0.22407,-0.03402,-423.045775476,0.0118,0.09054,-423.660836006
CC=Cc1ccccc1C=CC,CC[C]c1ccccc1C=CC,-0.21938,-0.04192,-465.818108004,0.15987,0.18929,-465.638079201
CC=Cc1ccc(C(C)(C)C)cc1,CC[C]c1ccc(C(C)(C)C)cc1,-0.22353,-0.03249,-506.364626874,0.15165,0.17043,-506.178739405
CC=Cc1cccc(C=CC)c1,CC[C]c1cccc(C=CC)c1,-0.22221,-0.04091,-465.817536011,0.1592,0.18014,-465.628142844
C1=Cc2ccccc2C1,[C]1Cc2ccccc2C1,-0.22457,-0.03328,-347.860552946,0.17609,0.20177,-347.612417513
CC=Cc1ccccc1C,CC[C]c1ccccc1C,-0.22457,-0.03498,-388.393242882,0.176,0.2079,-388.198387817
CC=Cc1ccc(F)cc1,CC[C]c1ccc(F)cc1,-0.22664,-0.04413,-448.340911255,0.17121,0.20575,-448.143169443
CC=Cc1cccc(C)c1,CC[C]c1cccc(C)c1,-0.22159,-0.04017,-388.398235974,0.17061,0.19158,-388.198780748
CC=Cc1ccc(Cl)cc1,CC[C]c1ccc(Cl)cc1,-0.22823,-0.05091,-808.695105547,-0.00875,0.06625,-808.632224143
CC=Cc1ccccc1,CC[C]c1ccccc1,-0.22483,-0.04156,-349.069675847,0.1787,0.21021,-348.86721806
CC=Cc1ccc(Br)cc1,CC[C]c1ccc(Br)cc1,-0.22821,-0.05193,-2922.60900494,-0.00696,0.06786,-2922.55972159
C(#Cc1ccccc1)c1ccccc1,[C](=Cc1ccccc1)c1ccccc1,-0.22263,-0.06073,-539.613505973,-0.01418,0.09418,-540.242048933
CC1=CCCC1,C[C]1CCCC1,-0.23351,0.00614,-234.71831848,0.04561,0.13324,-235.279631777
CC=Cc1cccc(Cl)c1,CC[C]c1cccc(Cl)c1,-0.24012,-0.04698,-808.690826509,0.16561,0.20404,-808.517354824
C=C(C)c1ccccc1,C[C](C)c1ccccc1,-0.23457,-0.0394,-349.06608492,0.03235,0.11569,-349.673605829
CC=Cc1cccc(Br)c1,CC[C]c1cccc(Br)c1,-0.23459,-0.05302,-2922.60901781,0.16482,0.18374,-2919.60693217
CC=Cc1ccc(C(=O)OC)cc1,CC[C]c1ccc(C(=O)OC)cc1,-0.235,-0.06836,-577.023313109,0.13772,0.17564,-576.88245069
CC=Cc1ccccc1Cl,CC[C]c1ccccc1Cl,-0.23246,-0.04809,-808.689411601,0.16746,0.20585,-808.509535229
CC1=CCCCC1,C[C]1CCCCC1,-0.23453,0.00105,-274.049103013,0.04464,0.12228,-274.613887584
C=Cc1ccccc1,C[C]c1ccccc1,-0.23485,-0.04924,-309.739276492,0.18753,0.21862,-309.531554541
C=C(C)C=C(C)C,C[C](C)C=C(C)C,-0.22009,-0.02684,-274.026185547,0.04894,0.12249,-274.616548779
CC=C(C)C,CC[C](C)C,-0.23625,0.00396,-196.605935469,0.04747,0.13194,-197.168148035
Cc1cc(C)cc(C)c1,Cc1cc(C)[C]C(C)c1,-0.23828,-0.00907,-350.303138944,0.17287,0.20058,-350.060471546
CC(C)=CCO,C[C]CCCO,-0.24584,-0.00911,-271.84346396,0.191,0.22133,-271.582172468
C1=CC2CCC1C2,C1[C]C2CCC1C2,-0.24291,0.00066,-272.805442176,0.19112,0.2215,-272.55081213
C1=CCCC1,[C]1CCCC1,-0.24417,0.00764,-195.386743734,0.20539,0.24898,-195.115638765
C1=CCCCC1,[C]1CCCCC1,-0.24475,0.00046,-234.718832459,0.19164,0.23423,-234.458715374
C=C(C)CCC,C[C](C)CCC,-0.25021,0.00033,-235.928014211,0.04481,0.1216,-236.491078419
Oc1ccc(O)cc1,Oc1ccc(O)[C]C1,-0.21493,-0.02412,-382.813312674,0.18249,0.23975,-382.586011998
COc1ccc(O)cc1,COc1ccc(O)[C]C1,-0.21072,-0.02046,-422.123687691,0.17149,0.20299,-421.900624273
Cc1cc(C)c(O)c(C)c1,C[C]1Cc(C)c(O)c(C)c1,-0.21582,-0.0085,-425.552016152,0.03973,0.10896,-426.11383514
Oc1ccc2ccccc2c1,Oc1ccc2ccC[C]c2c1,-0.21883,-0.04881,-461.249522106,0.17456,0.21138,-461.025439242
COc1ccccc1O,COc1c[C]Ccc1O,-0.21847,-0.0093,-422.127909422,0.17007,0.20144,-421.879899791
Cc1cccc(C)c1,Cc1c[C]Cc(C)c1,-0.24067,-0.01326,-310.974597537,0.17516,0.20669,-310.725380858
Cc1ccc(O)cc1C,Cc1ccc(O)[C]C1C,-0.22117,-0.01306,-386.222894883,0.17013,0.2087,-385.9869482
Oc1ccccc1,Oc1c[C]Ccc1,-0.25238,-0.02121,-307.561314271,0.19011,0.24136,-307.307727418
Oc1ccc(Br)cc1,Oc1ccc(Br)[C]C1,-0.24907,-0.03575,-2881.09967884,0.0335,0.12377,-2881.03663952
N#Cc1ccc(O)cc1,N=[C]c1ccc(O)cc1,-0.25683,-0.05557,-399.837163334,0.0189,0.09016,-400.403333373
COc1ccc(OC)cc1,COc1ccc(OC)[C]C1,-0.20764,-0.01629,-461.434215215,0.17038,0.20247,-461.20484392
COc1ccc2ccccc2c1,COc1ccc2[C]Cccc2c1,-0.21155,-0.0481,-500.558019974,0.16542,0.18112,-500.242859206
COc1ccccc1OC,COc1c[C]Ccc1OC,-0.21091,-0.00374,-461.431243684,0.16721,0.18662,-461.186059824
CC(C)Oc1cccc(OC(C)C)c1,CC(C)Oc1c[C]Cc(OC(C)C)c1,-0.21753,-0.00677,-618.75232871,0.15526,0.16863,-618.514207814
COc1cccc(OC)c1,COc1c[C]Cc(OC)c1,-0.22391,-0.01145,-461.436582193,0.16259,0.18639,-461.194229698
C1=COCCC1,[C]1COCCC1,-0.22376,0.00102,-270.629971296,0.19827,0.23758,-270.361614834
Cc1ccccc1C,Cc1c[C]Ccc1C,-0.24097,-0.01012,-310.973952323,0.17847,0.20623,-310.71863996
COc1ccccc1,COc1c[C]Ccc1,-0.22839,-0.01618,-346.877071696,0.17404,0.20832,-346.628867067
c1ccc(Oc2ccccc2)cc1,c1ccc(Oc2cc[C]Cc2)cc1,-0.23264,-0.03002,-538.667895571,0.14879,0.16524,-538.452199541
C1=C(N2CCCC2)CCCC1,[C]1C(N2CCCC2)CCCC1,-0.1811,-0.002,-446.160687782,0.16757,0.18646,-445.908514905
Nc1ccccc1N,Nc1c[C]Ccc1N,-0.20052,-0.00528,-343.071997813,0.1786,0.22443,-342.811513659
C1=C(N2CCOCC2)CCCC1,[C]1C(N2CCOCC2)CCCC1,-0.21789,-0.00357,-521.396440303,0.16733,0.18374,-521.133040808
CN(C)c1ccccc1,CN(C)c1c[C]Ccc1,-0.19772,-0.00755,-366.32296633,0.16745,0.19579,-366.077255489
Cc1ccc(N)cc1,Cc1ccc(N)[C]C1,-0.20588,-0.0124,-327.022525948,0.17923,0.21281,-326.780000022
CC(C)c1cccc(C(C)C)c1N,CC(C)c1[C]Ccc(C(C)C)c1N,-0.2055,-0.01017,-523.642801219,0.15687,0.18271,-523.40025076
C#Cc1ccccc1,C=[C]c1ccccc1,-0.24574,-0.04663,-308.485364266,0.00924,0.11414,-309.10679478
COc1cccc(N)c1,COc1c[C]Cc(N)c1,-0.20613,-0.00709,-402.25443915,0.17262,0.19652,-402.003025997
c1ccc(N2CCOCC2)cc1,c1cC[C](N2CCOCC2)cc1,-0.19837,-0.01177,-518.991293832,0.03634,0.10065,-519.564450689
C1CCNC1,C1C[C]NC1,-0.23381,0.00017,-212.650903248,0.19751,0.23183,-211.193327002
c1ccc(Nc2ccccc2)cc1,c1ccc(Nc2cc[C]Cc2)cc1,-0.20034,-0.02466,-518.801751577,0.14825,0.16572,-518.58123209
C1CCNCC1,C1C[C]NCC1,-0.22035,0.00236,-251.98293211,0.18648,0.2169,-250.529894882
Nc1ccccc1,Nc1c[C]Ccc1,-0.21294,-0.013,-287.69488843,0.18727,0.23247,-287.4328347
CC(C)NC(C)C,CC(C)N[C](C)C,-0.22504,0.00211,-292.519143882,0.04049,0.11489,-291.857724071
C1CCC2=NCCCN2CC1,C1CC[C]2NCCCN2CC1,-0.20728,-0.0046,-462.219313174,0.04643,0.10913,-462.76439888
COc1ccc(S)cc1,COc1ccc(S)[C]C1,-0.23227,-0.02591,-745.0937955,0.16205,0.19634,-744.87557446
Sc1ccc(S)cc1,Sc1ccc(S)[C]C1,-0.21551,-0.03366,-1028.75130885,0.14908,0.2123,-1028.56721081
Cc1ccccc1,Cc1c[C]Ccc1,-0.24758,-0.01541,-271.646052147,0.18429,0.21629,-271.389655504
COc1ccc(SSc2ccc(OC)cc2)cc1,COc1c[C]C(SSc2ccc(OC)cc2)cc1,-0.22226,-0.0571,-1488.99293442,0.13167,0.14284,-1488.90839216
Sc1ccc2ccccc2c1,Sc1ccc2cc[C]Cc2c1,-0.21975,-0.0553,-784.217147062,0.1449,0.18999,-784.033494591
Cc1cccc(C)c1S,Cc1c[C]Cc(C)c1S,-0.22227,-0.01603,-709.190518682,0.16473,0.19926,-708.958303781
CSc1ccccc1,CSc1c[C]Ccc1,-0.21554,-0.02015,-669.858888242,0.15979,0.2083,-669.64264284
Cc1ccc(SSc2ccc(C)cc2)cc1,Cc1c[C]C(SSc2ccc(C)cc2)cc1,-0.23098,-0.0625,-1338.52978108,0.13595,0.14792,-1336.12273278
Sc1ccccc1,Sc1c[C]Ccc1,-0.22731,-0.02483,-630.534802262,0.16701,0.22348,-630.314472642
c1ccc(SSc2ccccc2)cc1,c1c[C]C(SSc2ccccc2)cc1,-0.23633,-0.06773,-1259.87156137,0.14326,0.15768,-1259.63189952
O=[N+]([O-])c1ccc([S+]=[S+]c2ccc(N([O-])[O-])cc2)cc1,O=[N+]([O-])c1c[C]C([S+]=[S+]c2ccc(N([O-])[O-])cc2)cc1,-0.26985,-0.11441,-1669.00951113,-0.01036,0.02669,-1669.07498953
S=c1[nH]c2ccccc2[nH]1,S[C]1[nH]c2ccccc2[nH]1,-0.2114,-0.04486,-778.21653435,-0.02898,0.08142,-778.826458369
COc1ccc2cc[nH]c2c1,COc1ccc2[C]C[nH]c2c1,-0.19985,-0.01505,-478.481014994,0.16408,0.19197,-478.268038192
C=Cc1ccc(C)c(C)c1,C[C]c1ccc(C)c(C)c1,-0.22406,-0.04286,-388.396057758,0.16777,0.1916,-388.193157479
Nc1nccs1,Nc1n[C]Cs1,-0.22264,-0.0211,-624.512037873,0.17698,0.24857,-624.294103115
COc1cccc2[nH]ccc12,COc1cccc2[nH][C]Cc12,-0.19847,-0.01208,-478.482885918,0.16546,0.18323,-478.258693248
S=c1[nH]c2ccccc2s1,S[C]1[nH]c2ccccc2s1,-0.2225,-0.05889,-1121.05319173,-0.0097,0.09722,-1121.63086126
COc1ccc2[nH]ccc2c1,COc1ccc2[nH][C]Cc2c1,-0.20124,-0.02239,-478.479099659,0.16316,0.18202,-478.256242775
Cn1cccc1,Cn1[C]Ccc1,-0.21461,0.00084,-249.554261935,0.19071,0.21162,-249.288141925
S=c1[nH]c2ccccc2o1,S[C]1[nH]c2ccccc2o1,-0.22722,-0.05307,-798.071500811,-0.03812,0.07368,-798.689975565
c1c[nH]cn1,[C]1C[nH]cn1,-0.24039,-0.0085,-226.287722362,0.2078,0.25475,-226.021079621
c1ccc2[nH]ccc2c1,c1ccc2[nH][C]Cc2c1,-0.21264,-0.02211,-363.922992238,0.17442,0.1989,-363.688786309
c1ccc2sccc2c1,c1ccc2s[C]Cc2c1,-0.22651,-0.0384,-706.770036459,0.17223,0.19732,-706.547904931
OCc1ccco1,OCc1c[C]Co1,-0.24084,-0.01903,-344.664840699,0.18388,0.24654,-344.454543659
